Code_Postal;Diff_ConsoResidentiel;Diff_ConsoProfessionel;ConsoResidentielTotal;ConsoProfessionelTotal;Commune;Diff_ConsoIndustriel;ConsoIndustrielTotal;Diff_ConsoTertiaire;ConsoTertiaireTotal
16425;490.301230;73.365072;9776.207011;1103.233771;Yvrac-et-Malleyrand;0.000000;0.000000;0.000000;0.000000
17002;89.689348;1.917132;2296.375257;558.673334;Agudelle;0.000000;0.000000;0.000000;0.000000
17003;6528.454224;1057.176086;73809.401135;15223.837346;Aigrefeuille-d'Aunis;-15060.132532;22696.971755;5337.151258;22639.264131
17004;558.240077;339.854114;7636.569561;3514.269711;Île-d'Aix;32.927769;191.755582;-341.417062;3307.312520
17005;400.722879;-89.888511;3805.273812;679.091602;Allas-Bocage;0.000000;0.000000;0.000000;0.000000
17006;122.712465;-27.672143;4373.284502;792.928420;Allas-Champagne;0.000000;0.000000;-4.976676;606.843531
17007;353.817326;-131.284469;7400.575114;799.085890;Anais;44.561338;125.455722;-42.859519;3869.757372
17008;2747.024556;652.346722;41633.559820;5818.405821;Andilly;-1161.322902;4749.234080;1879.854622;6883.834085
17009;1767.875055;152.905971;17684.952783;1365.442517;Angliers;180.909889;180.909889;11.277362;170.678617
17010;4498.916524;1179.911506;76843.824643;22436.108371;Angoulins;609.921377;3390.050515;-1409.911563;74741.724181
17011;314.245923;65.864262;7955.381775;409.719923;Annepont;0.000000;0.000000;340.495837;663.410080
17012;220.205794;80.678203;3502.432565;1122.564696;Annezay;0.000000;0.000000;0.000000;0.000000
17013;585.418111;4.911870;7222.610607;1101.708060;Antezant-la-Chapelle;0.000000;0.000000;-11.875142;21.732502
17015;1436.337243;-165.170179;14301.907010;1892.109404;Arces;0.000000;0.000000;735.362546;1238.457048
17016;716.673766;118.254372;15131.729413;5852.989956;Archiac;474.304654;4099.695531;1579.463409;7086.419713
17017;828.746732;64.616821;13363.627316;2580.268121;Archingeay;21.535727;21.535727;0.000000;0.000000
17018;1049.619039;64.132377;16587.403944;1363.297493;Ardillières;0.000000;0.000000;67.641154;839.586366
17019;5071.415304;1066.778005;57741.433267;16594.100757;Ars-en-Ré;-31.550009;707.456159;504.856468;29198.456208
17020;133.992009;-123.603302;5166.757802;2360.893039;Arthenac;0.000000;0.000000;13.367990;722.923770
17021;7622.425219;182.261175;80200.894543;12106.537817;Arvert;-138.612637;950.636266;1815.544051;20020.561464
17022;1833.708321;325.310765;21249.082251;2983.198807;Asnières-la-Giraud;0.000000;0.000000;-122.552363;370.947144
17023;443.001923;17.222182;6976.222598;1438.176937;Aujac;0.000000;0.000000;0.000000;0.000000
17024;1873.928207;250.275882;28622.271398;8678.227045;Aulnay;-4.818914;2038.141000;499.856539;11737.313897
17025;1382.771797;130.944210;15271.273756;1131.973294;Aumagne;414.816418;927.416792;39.736243;170.006273
17026;370.012918;1.610863;8787.481759;1096.528611;Authon-Ébéon;0.000000;0.000000;284.301292;1356.927984
17027;600.593174;-2.486952;9835.721591;665.801329;Avy;0.333046;271.446693;-155.137747;1215.800118
17028;-66017.529579;-25839.756823;70557.361179;27473.608655;Aytré;-19477.921793;163087.341462;1101.086418;59841.139025
17029;0.000000;0.000000;0.000000;0.000000;Bagnizeau;0.000000;0.000000;100.090375;437.719298
17030;1170.041096;654.270687;11996.680467;2212.256666;Balanzac;46.446000;223.974000;42.322942;484.789584
17031;-6.589016;56.139985;4249.692165;803.922045;Ballans;0.000000;0.000000;0.000000;0.000000
17032;1056.297356;115.732957;15611.342942;1938.371356;Ballon;0.000000;0.000000;34.993918;227.816229
17033;1097.920705;-105.206964;8342.949174;992.001834;La Barde;0.000000;0.000000;0.000000;0.000000
17034;549.960940;125.170640;11302.255832;2107.047802;Barzan;-308.482704;1870.298436;1282.474081;3138.169066
17035;151.337862;-11.500548;2620.411931;357.387218;Bazauges;0.000000;0.000000;0.000000;0.000000
17036;665.283407;0.015613;14258.222565;1335.361499;Beaugeay;0.000000;0.000000;0.000000;0.000000
17037;1074.957048;397.409343;12531.197233;3707.691919;Beauvais-sur-Matha;-4.190076;95.056798;-17.774706;1013.100104
17038;1389.617478;221.620799;9395.383140;984.373008;Bedenac;-238.412170;1908.757853;1037.346013;10163.849721
17039;197.504782;91.637009;4367.892142;749.349062;Belluire;0.073432;66.204432;1065.229400;3389.759038
17040;80.483759;81.650559;6448.667408;646.660134;La Benâte;4.480086;53.850935;41.182526;82.087463
17041;2883.209103;326.291930;27201.496958;2853.880772;Benon;77.293689;77.293689;359.430294;3058.298356
17042;599.138672;124.283148;8696.315085;1207.742846;Bercloux;0.000000;0.000000;0.000000;0.000000
17043;782.009519;-178.488022;14080.276670;2925.939243;Bernay-Saint-Martin;59.318184;580.237804;166.600104;3606.529334
17044;1544.126735;-0.407270;23124.742177;2321.081069;Berneuil;0.000000;0.000000;0.000000;0.000000
17045;1962.372460;378.735720;20379.262151;2719.151776;Beurlay;-228.285047;2983.606136;516.721004;3219.537483
